상품명,가격,상품설명
[강창구찹쌀진순대] 찹쌀 진순대국,"6,200원",얼큰한 국물에 담긴 진한 풍미
[KF365] 방울토마토 500g,"8,990원","믿고 먹을 수 있는 상품을 합리적인 가격에, KF365"
한통 양배추,"5,490원",아삭한 잎에 깃든 달콤함
[Kurly's] 국산콩 두부 300g,"2,200원",1등급 국산콩의 진한 고소함
금실 딸기 500g,"19,900원",탄탄한 과육을 뽐내는 딸기
[홍익궁중전통] 육개장 (2인분),"8,330원",사골 육수와 대파로 완성한
[멕시카나] 닭강정 2종,"8,080원",멕시카나의 오랜 노하우로 완성
[서울우유] 나 100% 우유 1.8L,"5,980원",서울우유의 믿을 수 있는 품질! 든든한 용량 1등급 우유
조선향미 쌀 4kg,"26,900원",오감만족 쌀밥의 품격(23년산 쌀)
[KF365] 한돈 목살 구이용 600g~ (냉장),"14,700원~","100g 당 판매가 : 2,450원(600g) / 2,350원(1kg)"
페루산 애플 청포도 500g,"9,900원",아삭아삭 입안에서 터지는 청포도 파티
"[어게인리프레쉬] 샐러드 8종 (택1, 리뉴얼)","5,040원~",내 취향에 맞는 샐러드 고르기
대저 토마토 1kg,"13,900원",싱그러운 초록빛을 머금은 토마토
[KF365] 유명산지 고당도사과 1.5kg (5~6입),"29,900원",아삭아삭 달콤한 제철 과일
[Kim's Butcher] 미국산 우삼겹 돌돌말이 1kg (냉동),"15,990원",설명 없음
대저 짭짤이 토마토 600g (2S-M),"11,900원",싱그럽게 물든 초록빛 토마토
알배기 배추 1봉,"4,590원",고소하고 달큼한 맛이 일품인 미니 알배기 배추
[KF365] 에어프라이어용 통등심 돈까스 120g*5pk,"9,990원",에어프라이어로 더 바삭하게
[창억] 찰떡 5종 (택1),"8,835원~",맛과 든든함 모두 잡은
[올바르고 반듯한] 슈퍼크런치 치킨텐더,"8,480원",곡물 가루로 고소함을 살린
당도선별 천혜향 2kg (7~13입),"32,900원",오렌지와 감귤이 만들어낸 진한 향기
[KF365] 양념 칼집 목살구이1kg (냉동),"12,665원",온 가족이 즐기는 메인 메뉴
[Kurly's] R15 통밀 식빵,"3,980원",컬리가 자신있게 제안하는 데일리 통밀 식빵
[방방곡곡] 비빔국수 키트 (2인분),"7,992원",매콤새콤한 국물이 자작한
당도선별 천혜향 1kg (4~6입),"14,900원",부드러운 과육이 품은 상큼함
[KS365] 물티슈 엠보싱 캡형 (100매 X 10팩),"10,800원",10매당 112원 / 매일 편하게 뽑아 쓰는 물티슈
[투다리] 시그니처 김치우동 (2인분),"11,390원",집에서 맛보는 인기 메뉴
[본죽] 메추리알 장조림 1kg,"8,000원",든든한 대용량 반찬
[비비고] 왕교자 만두 대용량 1.05kg,"9,480원",넉넉하게 누리는 만두의 정석
[달떡볶이] 떡꼬치,"5,015원",집에서 즐기는 추억의 맛
[포비베이글] 크림치즈 8종,"8,910원~",집에서 즐기는 녹진한 그 맛
청송 사과 1.5kg (5~7입),"27,900원",빨갛게 여문 사과의 참맛
[매일] 소화가 잘되는 우유 930mL 2종 (택 1),"3,780원",유당은 제거하고 칼슘은 높인
[서울우유] 더 진한 순수 플레인 요거트 1.8L,"7,480원",오직 원유와 유산균만으로
